href,id,name,popularity,uri,album.name
https://api.spotify.com/v1/tracks/7CnOzCWGrTINcDExG6u99y,7CnOzCWGrTINcDExG6u99y,Cool Struttin',53,spotify:track:7CnOzCWGrTINcDExG6u99y,Cool Struttin' (Remastered / Rudy Van Gelder Edition)
https://api.spotify.com/v1/tracks/5Si2mbeT6nL3ysCIVsYu4R,5Si2mbeT6nL3ysCIVsYu4R,Lady Day and John Coltrane,0,spotify:track:5Si2mbeT6nL3ysCIVsYu4R,The Revolution Begins: The Flying Dutchman Masters
https://api.spotify.com/v1/tracks/7fSwDksBCCucOLlAO9obm9,7fSwDksBCCucOLlAO9obm9,Cheek To Chico,0,spotify:track:7fSwDksBCCucOLlAO9obm9,"Jazz Themes From The Movie Soundtrack """"Sweet Smell Of Success"""""
https://api.spotify.com/v1/tracks/3l2pObHGPzGmgRWDlAbUJN,3l2pObHGPzGmgRWDlAbUJN,"The """"In"""" Crowd - Live At The Bohemian Caverns, Washington, D.C., 1965",45,spotify:track:3l2pObHGPzGmgRWDlAbUJN,The In Crowd (Expanded Edition)
https://api.spotify.com/v1/tracks/0Cvjlph1WGbwZY1PlMEtJY,0Cvjlph1WGbwZY1PlMEtJY,Come Away With Me,75,spotify:track:0Cvjlph1WGbwZY1PlMEtJY,Come Away With Me
https://api.spotify.com/v1/tracks/2fNCSdonK3E2ODMvAUx92e,2fNCSdonK3E2ODMvAUx92e,And Here We Test Our Powers Of Observation,37,spotify:track:2fNCSdonK3E2ODMvAUx92e,Give
https://api.spotify.com/v1/tracks/4LbJFM4QRgvKoYU7nzj3Dx,4LbJFM4QRgvKoYU7nzj3Dx,Blue bossa,43,spotify:track:4LbJFM4QRgvKoYU7nzj3Dx,Biting The Apple
https://api.spotify.com/v1/tracks/5GVMAnMTX3miLXxC3pTXJq,5GVMAnMTX3miLXxC3pTXJq,Arcades,0,spotify:track:5GVMAnMTX3miLXxC3pTXJq,Ornithophobia
https://api.spotify.com/v1/tracks/4XUkIVq6olEHMIQEWpBn3t,4XUkIVq6olEHMIQEWpBn3t,Vamp,11,spotify:track:4XUkIVq6olEHMIQEWpBn3t,Days of Blue
https://api.spotify.com/v1/tracks/3PJMsxg6rz9FOo6xNiASXz,3PJMsxg6rz9FOo6xNiASXz,Goodbye Pork Pie Hat,59,spotify:track:3PJMsxg6rz9FOo6xNiASXz,Ah Um
https://api.spotify.com/v1/tracks/5aJcTRuJRYdd7cgPg4ZN8O,5aJcTRuJRYdd7cgPg4ZN8O,The Beast,0,spotify:track:5aJcTRuJRYdd7cgPg4ZN8O,Rockin' With Milt
https://api.spotify.com/v1/tracks/493ACqCZRUA0S35w0ACn4Y,493ACqCZRUA0S35w0ACn4Y,Cuando Cuando,36,spotify:track:493ACqCZRUA0S35w0ACn4Y,In These Shoes
https://api.spotify.com/v1/tracks/6gVXJNHw1DBEaGEMJgTj1k,6gVXJNHw1DBEaGEMJgTj1k,Skyward Bound,27,spotify:track:6gVXJNHw1DBEaGEMJgTj1k,Steps Ahead
https://api.spotify.com/v1/tracks/2x91iJc0UkFcjRMEZ2CoWB,2x91iJc0UkFcjRMEZ2CoWB,"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)",55,spotify:track:2x91iJc0UkFcjRMEZ2CoWB,Kind Of Blue (Legacy Edition)
https://api.spotify.com/v1/tracks/4MEICIguaQ272dPeOWkjYJ,4MEICIguaQ272dPeOWkjYJ,Worse and Worse,15,spotify:track:4MEICIguaQ272dPeOWkjYJ,"Bill Frisell, Ron Carter, Paul Motian"
https://api.spotify.com/v1/tracks/21WlpZiXLelHjdoMUhHfrm,21WlpZiXLelHjdoMUhHfrm,My One And Only Love,39,spotify:track:21WlpZiXLelHjdoMUhHfrm,The Best Of Chick Corea
https://api.spotify.com/v1/tracks/4JpLVWSzaaQlgAET15YZb3,4JpLVWSzaaQlgAET15YZb3,I Let A Song Go Out Of My Heart,23,spotify:track:4JpLVWSzaaQlgAET15YZb3,The Essential Lena Horne - The RCA Years
https://api.spotify.com/v1/tracks/3s2RFp5hU6jEvAmfZrnrAi,3s2RFp5hU6jEvAmfZrnrAi,I'll Let You Know,55,spotify:track:3s2RFp5hU6jEvAmfZrnrAi,The New Classic Trio
https://api.spotify.com/v1/tracks/6MTgCiralWjgYruZgqJt3Z,6MTgCiralWjgYruZgqJt3Z,Mra Khali,14,spotify:track:6MTgCiralWjgYruZgqJt3Z,Let It Be Told
https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered 1998,70,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me (Remastered)
https://api.spotify.com/v1/tracks/3laCo1tj2egTZLFDEZjbMy,3laCo1tj2egTZLFDEZjbMy,Just a Gigolo,35,spotify:track:3laCo1tj2egTZLFDEZjbMy,Monk's Dream
https://api.spotify.com/v1/tracks/0V3K5h6d8Epqg4k60O1IBB,0V3K5h6d8Epqg4k60O1IBB,Lazy Bird,38,spotify:track:0V3K5h6d8Epqg4k60O1IBB,Blue Train (Expanded Edition)
https://api.spotify.com/v1/tracks/4A8VMiwggF5OrCPkuqAlPx,4A8VMiwggF5OrCPkuqAlPx,"Take The """"A"""" Train",0,spotify:track:4A8VMiwggF5OrCPkuqAlPx,Jazz Moods -- Hot
https://api.spotify.com/v1/tracks/1eBwxDeN0OjfRGcFSE0YxY,1eBwxDeN0OjfRGcFSE0YxY,Everything I Love,17,spotify:track:1eBwxDeN0OjfRGcFSE0YxY,Life Between The Exit Signs
https://api.spotify.com/v1/tracks/4ut7rmXHnJ7FiGxUu5wmC9,4ut7rmXHnJ7FiGxUu5wmC9,King Queen,4,spotify:track:4ut7rmXHnJ7FiGxUu5wmC9,Initiate
https://api.spotify.com/v1/tracks/5z15cDqIrx3pGlxjplr5PV,5z15cDqIrx3pGlxjplr5PV,Triplicity,15,spotify:track:5z15cDqIrx3pGlxjplr5PV,Triplicity (Live)
https://api.spotify.com/v1/tracks/3ETaHTY7ACGLqjhYskQ2Hj,3ETaHTY7ACGLqjhYskQ2Hj,"My Foolish Heart - Live At Town Hall, New York City, 1966",33,spotify:track:3ETaHTY7ACGLqjhYskQ2Hj,Bill Evans At Town Hall
https://api.spotify.com/v1/tracks/5vfQK8G9uaH0RJiG0yaMrX,5vfQK8G9uaH0RJiG0yaMrX,Taxi War- Dance,20,spotify:track:5vfQK8G9uaH0RJiG0yaMrX,This Is Jazz #11
https://api.spotify.com/v1/tracks/5Y6XkUYByRoFIx0j2bqJrk,5Y6XkUYByRoFIx0j2bqJrk,Touchin' on Trane: Part A,13,spotify:track:5Y6XkUYByRoFIx0j2bqJrk,"Gayle, Charles / Parker, William / Ali, Rashied: Touchin' on Trane"
https://api.spotify.com/v1/tracks/5CcAkJMkqpx7vwyYq1CQQd,5CcAkJMkqpx7vwyYq1CQQd,As This Moment Slips Away,44,spotify:track:5CcAkJMkqpx7vwyYq1CQQd,The Bad Plus Joshua Redman
https://api.spotify.com/v1/tracks/2l2Wc0siUPFZg1SEHfkk7J,2l2Wc0siUPFZg1SEHfkk7J,Tensity,13,spotify:track:2l2Wc0siUPFZg1SEHfkk7J,The Edge: David Axelrod At Capitol Records 1966-1970
https://api.spotify.com/v1/tracks/3VZwP7d1U7tuQjb9JZrSRF,3VZwP7d1U7tuQjb9JZrSRF,'S Wonderful,57,spotify:track:3VZwP7d1U7tuQjb9JZrSRF,The Look Of Love
